video_id,date,views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category,device,country,ad_revenue_usd
vid_4608,2025-01-11 10:50:40.993199,9945,1458.0,121.0,31645.77411107949,15.206638914308623,224801,Tech,Desktop,CA,228.151319077296
vid_3134,2025-06-05 10:50:40.993199,10077,701.0,202.0,40120.59626087923,12.65605033179933,580825,Tech,TV,UK,257.17529220808603
vid_25,2024-09-18 10:50:40.993199,9947,1802.0,347.0,55506.46143266546,5.456634878179383,385325,Tech,Tablet,DE,350.4505923779508
vid_4926,2024-10-24 10:50:40.993199,9995,1286.0,292.0,34484.070852958204,4.757113034752566,606881,Education,TV,DE,241.775902634214
vid_4966,2025-02-10 10:50:40.993199,10034,776.0,447.0,34912.30942268418,2.488626705397896,46916,Entertainment,Mobile,DE,237.89654391494403
vid_493,2024-11-08 10:50:40.993199,10014,401.0,398.0,48706.31605498263,8.350578363823537,738111,Entertainment,Desktop,CA,295.537235110052
vid_3446,2024-09-26 10:50:40.993199,10185,239.0,427.0,20814.73309330416,19.406243740459225,861661,Music,Mobile,CA,162.64643144033153
vid_3274,2025-02-02 10:50:40.993199,9934,1839.0,53.0,42980.27177589563,5.62069447845786,681344,Gaming,Mobile,CA,286.9105396681002
vid_778,2025-01-07 10:50:40.993199,10080,1129.0,126.0,19540.455652333745,15.08837254473766,439577,Education,Mobile,CA,166.21506421151432
vid_1357,2024-08-28 10:50:40.993199,9716,1553.0,332.0,29388.01849224328,24.939180207742535,20044,Entertainment,Tablet,AU,221.57319945514277
vid_4546,2024-08-02 10:50:40.993199,9920,1400.0,488.0,43599.79648453677,24.736738112678054,535666,Tech,TV,AU,289.68961609958524
vid_2885,2025-03-31 10:50:40.993199,9953,371.0,338.0,36567.75210663868,29.27990498087172,512756,Music,Tablet,AU,236.44484660012165
vid_1237,2025-02-14 10:50:40.993199,10007,1383.0,435.0,16060.302579292853,10.450307393098832,943386,Lifestyle,TV,AU,159.1038790286977
vid_1656,2024-10-08 10:50:40.993199,9825,1378.0,86.0,25585.138665014536,26.829158590982598,129191,Lifestyle,Tablet,AU,196.97644435114825
vid_1171,2025-03-06 10:50:40.993199,10082,1042.0,402.0,30097.67793846755,21.92091167551437,217341,Tech,Tablet,IN,219.24629572213516
